"hash","date","author","subject"
"64a4d59d8a0d195571893b21013d8f56e176c37d","2025-12-19T17:27:40+05:30","Manideep SP","Change demo availability from true to false"
"d2df77599de54301726c24aedbb73ad6b79504c5","2025-12-19T17:13:35+05:30","Manideep SP","docs: Update README to v1.0 with architecture diagrams, flowcharts, and enhanced documentation"
"baad1b00127e19b334e3bf59dcc593bfc4abf645","2025-12-19T16:58:34+05:30","Manideep SP","feat(projects): visual and UX refinements with config enhancements"
"6499f0f5087a4b6aadaf11c7b48d6f45fb6cc909","2025-12-19T16:41:39+05:30","Manideep SP","fix(contact): reset character counter after successful form submission"
"f2d2e7d3f43a42f8a969d57278609c4cf633c380","2025-12-19T16:21:45+05:30","Manideep SP","feat(contact): improve form UX and fix worker CORS"
"837b507ecb8260bc0cf15a052cc7c68c0678ae1b","2025-12-19T15:44:24+05:30","Manideep SP","content: sync about.md name and role with config.json"
"cf12773d16723ffd9e4777f707d8d55c1d448018","2025-12-19T15:42:49+05:30","Manideep SP","style(polish): smoother cubic-bezier transitions and focus refinement"
"2454042457335ed43e69b6398f157caa2900af30","2025-12-19T15:39:35+05:30","Manideep SP","perf: preconnect fonts, async font load, fetchpriority, decoding hints"
"65b4ce4efd3dd5512a8cc98bf05ed12f3be3278a","2025-12-19T15:32:04+05:30","Manideep SP","a11y: add skip link, landmarks, meta description, focus outline"
"0f5daaf1ec0d260a50cee41bed19723130547501","2025-12-19T15:28:15+05:30","Manideep SP","style(responsive): tighten mobile spacing and stack layouts"
"b87f3265fd5daa6d1f8c112e678751201d07178e","2025-12-19T15:25:34+05:30","Manideep SP","style(cards): restore darker hover contrast"
"490de5a77fa72bea829d824ff9b8c07f69270d26","2025-12-19T15:19:28+05:30","Manideep SP","feat(bg+cursor): animate aurora spotlight and speed up cursor glow"
"a9e2f3a56cb5d15b8bd5afd75b02e4ebc36d38cd","2025-12-19T15:14:37+05:30","Manideep SP","fix(reveal): avoid permanent blur when JS is unavailable"
